"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:34:19.397","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:19.771","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:20.893","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:21.419","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:21.466","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:22.048","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:23.171","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:23.401","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:24.324","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:24.493","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:25.423","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:25.457","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:26.539","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:27.459","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:27.510","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:27.631","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:28.767","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:29.403","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:29.896","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:31.048","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:31.420","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:32.186","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:33.350","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:33.408","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:33.527","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:34.456","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:35.409","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:35.553","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
